National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2023,233227,59932,156946,21147,67210,60832,7757,16349
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2024,246409,63082,166203,22174,72705,63304,8019,17124
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2025,259967,66399,175641,23242,78198,65911,8290,17928
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1960,438,52,84,50,0,0,34,301
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1961,505,56,89,53,0,0,36,359
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1962,538,59,98,60,0,0,37,382
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1963,590,63,106,67,0,0,39,420
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1964,650,71,119,77,0,0,42,461
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1965,709,76,131,85,0,0,47,501
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1966,811,78,161,89,4,18,50,572
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1967,921,85,204,96,11,35,61,632
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1968,1074,97,271,113,14,72,73,706
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1969,1222,111,336,129,16,124,67,776
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1970,1299,122,341,151,18,135,38,836
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1971,1388,133,326,171,21,106,28,929
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1972,1676,143,431,193,25,180,34,1101
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1973,1975,159,595,218,29,312,37,1221
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1974,2358,180,774,247,38,445,44,1403
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1975,2869,165,1075,264,48,711,52,1629
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1976,3536,181,1432,310,57,1000,65,1923
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1977,4461,191,2007,360,70,1529,49,2263
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1978,5466,209,2656,415,89,2084,67,2602
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1979,6724,238,3375,487,110,2709,69,3111
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1980,8394,270,4320,571,131,3536,82,3804
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1981,9413,356,4749,692,153,3809,95,4308
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1982,10764,515,5411,816,201,4259,135,4837
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1983,12107,579,6177,908,261,4811,198,5350
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1984,13101,664,6546,986,302,5104,154,5892
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1985,14499,768,7276,1084,342,5721,129,6455
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1986,15666,790,8082,1156,411,6377,137,6794
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1987,16798,792,8819,1234,481,6968,137,7186
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1988,18779,901,9864,1425,489,7814,136,8014
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1989,21402,1004,11596,1592,635,9229,139,8802
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1990,23835,917,13221,1737,762,10567,155,9697
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1991,27365,884,15953,1899,932,12947,176,10528
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1992,29607,829,17668,2045,1109,14344,171,11110
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1993,33578,938,20512,2310,1279,16727,197,12128
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1994,37458,1020,23337,2596,1440,19108,193,13101
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1995,41496,1070,26312,2755,1568,21784,205,14115
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1996,46048,1394,29199,3110,1660,24186,243,15455
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1997,50008,1665,31680,3399,1713,26333,235,16664
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1998,55628,2494,33569,3651,1693,27917,308,19565
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y1999,59182,2676,35840,3740,1655,30080,365,20666
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2000,63945,2967,38626,3869,1783,32492,482,22352
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2001,69964,3298,42639,4040,2044,36037,517,24027
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2002,76710,3560,47671,4517,2368,40193,593,25479
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2003,82509,3932,51617,4994,2680,43255,689,26960
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2004,89345,4222,56640,5877,3042,46823,898,28483
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2005,95043,4529,60535,6270,3509,49851,905,29978
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2006,101083,4636,64813,6701,3711,53287,1114,31634
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2007,108336,4658,69650,7240,3930,57386,1094,34029
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2008,114534,4791,73266,7752,4226,59981,1308,36476
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2009,123363,5080,80260,8358,4577,65706,1619,38023
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2010,129066,5100,85097,9137,4776,69609,1575,38868
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2011,131670,5111,87356,10252,4948,70579,1578,39202
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2012,139101,5519,92603,10069,5089,75665,1779,40979
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2013,144262,5981,96749,10149,5144,79581,1875,41532
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2014,151456,5802,101866,10729,5194,83982,1962,43789
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Historical,Y2015,163322,6237,111971,12304,5047,92357,2263,45114
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2016,170002,6770,115364,13257,5093,94648,2366,47867
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2017,178961,7307,120482,14157,5160,98435,2729,51173
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2018,189389,7845,126931,15143,5288,103571,2928,54613
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2019,200966,8380,134334,16199,5536,109475,3124,58252
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2020,213280,8909,142221,17297,5851,115766,3307,62150
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2021,226439,9475,150600,18482,6234,122338,3547,66363
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2022,240247,10032,159440,19761,6651,129236,3792,70774
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2023,254962,10644,168833,21168,7094,136526,4045,75485
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2024,270674,11304,178862,22719,7574,144258,4311,80507
"Other Health, Residential, and Personal Care Expenditures",02/15/2017,Projected,Y2025,287457,12021,189562,24414,8090,152463,4595,85874
Government Administration Expenditures,02/15/2017,Historical,Y1960,54,0,12,0,0,0,12,42
Government Administration Expenditures,02/15/2017,Historical,Y1961,67,0,12,0,0,0,12,54
Government Administration Expenditures,02/15/2017,Historical,Y1962,79,0,13,0,0,0,13,66
Government Administration Expenditures,02/15/2017,Historical,Y1963,82,0,13,0,0,0,13,69
Government Administration Expenditures,02/15/2017,Historical,Y1964,142,0,13,0,0,0,13,129
Government Administration Expenditures,02/15/2017,Historical,Y1965,237,0,13,0,0,0,13,224
Government Administration Expenditures,02/15/2017,Historical,Y1966,334,0,184,0,120,51,13,150
Government Administration Expenditures,02/15/2017,Historical,Y1967,421,0,329,0,193,120,17,91
Government Administration Expenditures,02/15/2017,Historical,Y1968,560,0,460,0,287,152,21,99
Government Administration Expenditures,02/15/2017,Historical,Y1969,627,0,522,0,310,185,27,105
Government Administration Expenditures,02/15/2017,Historical,Y1970,740,0,672,0,397,243,32,69
Government Administration Expenditures,02/15/2017,Historical,Y1971,794,0,721,0,407,275,38,74
Government Administration Expenditures,02/15/2017,Historical,Y1972,929,0,849,0,474,332,44,81
Government Administration Expenditures,02/15/2017,Historical,Y1973,1087,0,1000,0,548,400,51,87
Government Administration Expenditures,02/15/2017,Historical,Y1974,1307,0,1209,0,680,471,59,98
Government Administration Expenditures,02/15/2017,Historical,Y1975,1493,0,1381,0,726,592,63,113
Government Administration Expenditures,02/15/2017,Historical,Y1976,1861,0,1692,0,879,743,70,169
Government Administration Expenditures,02/15/2017,Historical,Y1977,1942,0,1750,0,754,926,70,192
Government Administration Expenditures,02/15/2017,Historical,Y1978,2326,0,2120,0,1002,1040,78,206
Government Administration Expenditures,02/15/2017,Historical,Y1979,2507,0,2282,0,1022,1178,82,225
Government Administration Expenditures,02/15/2017,Historical,Y1980,2771,0,2529,0,1127,1316,87,241
Government Administration Expenditures,02/15/2017,Historical,Y1981,3154,0,2892,0,1308,1491,93,262
Government Administration Expenditures,02/15/2017,Historical,Y1982,3237,0,2953,0,1279,1565,108,284
Government Administration Expenditures,02/15/2017,Historical,Y1983,3592,0,3280,0,1416,1731,133,312
Government Administration Expenditures,02/15/2017,Historical,Y1984,4017,0,3659,0,1549,1977,132,358
Government Administration Expenditures,02/15/2017,Historical,Y1985,4536,0,4129,0,1912,2088,129,406
Government Administration Expenditures,02/15/2017,Historical,Y1986,4768,0,4286,0,1867,2283,135,482
Government Administration Expenditures,02/15/2017,Historical,Y1987,5110,0,4543,0,1858,2539,146,567
Government Administration Expenditures,02/15/2017,Historical,Y1988,5848,0,5178,0,2238,2785,156,670
Government Administration Expenditures,02/15/2017,Historical,Y1989,6533,0,5763,0,2474,3114,175,770
Government Administration Expenditures,02/15/2017,Historical,Y1990,7189,0,6347,0,2455,3695,197,842
Government Administration Expenditures,02/15/2017,Historical,Y1991,7966,0,6957,0,2812,3961,184,1009
Government Administration Expenditures,02/15/2017,Historical,Y1992,8657,0,7531,0,3002,4302,228,1125
Government Administration Expenditures,02/15/2017,Historical,Y1993,9260,0,8266,0,2801,5217,248,995
Government Administration Expenditures,02/15/2017,Historical,Y1994,10973,0,10001,0,3057,6669,274,973
Government Administration Expenditures,02/15/2017,Historical,Y1995,11710,0,10764,0,3023,7463,278,946
Government Administration Expenditures,02/15/2017,Historical,Y1996,10871,0,9841,0,3279,6284,278,1030
Government Administration Expenditures,02/15/2017,Historical,Y1997,12265,0,11314,0,3228,7783,302,951
Government Administration Expenditures,02/15/2017,Historical,Y1998,13299,0,12477,0,3431,8669,377,822
Government Administration Expenditures,02/15/2017,Historical,Y1999,14500,0,13839,0,3671,9628,540,661
Government Administration Expenditures,02/15/2017,Historical,Y2000,17054,0,15880,0,4676,10434,770,1174
Government Administration Expenditures,02/15/2017,Historical,Y2001,19564,0,17283,0,4522,11751,1010,2281
Government Administration Expenditures,02/15/2017,Historical,Y2002,22515,0,19289,0,5099,12732,1458,3226
Government Administration Expenditures,02/15/2017,Historical,Y2003,25085,0,20968,0,5182,13909,1876,4117
Government Administration Expenditures,02/15/2017,Historical,Y2004,27000,0,22644,0,6288,14027,2329,4356
Government Administration Expenditures,02/15/2017,Historical,Y2005,28147,0,24182,0,6494,14872,2816,3965
Government Administration Expenditures,02/15/2017,Historical,Y2006,28666,0,25554,0,6673,15745,3137,3112
Government Administration Expenditures,02/15/2017,Historical,Y2007,29075,0,26622,0,6680,16538,3403,2453
Government Administration Expenditures,02/15/2017,Historical,Y2008,29153,0,27564,0,6873,17257,3434,1590
Government Administration Expenditures,02/15/2017,Historical,Y2009,29555,0,28530,0,6974,17815,3741,1025
Government Administration Expenditures,02/15/2017,Historical,Y2010,30070,0,29209,0,7310,17601,4298,860
Government Administration Expenditures,02/15/2017,Historical,Y2011,32398,0,31058,0,8229,18422,4408,1340
Government Administration Expenditures,02/15/2017,Historical,Y2012,33520,0,31322,0,8572,18550,4200,2198
Government Administration Expenditures,02/15/2017,Historical,Y2013,37196,0,32903,0,8534,19993,4376,4293
Government Administration Expenditures,02/15/2017,Historical,Y2014,41241,0,36301,0,9481,22345,4474,4940
Government Administration Expenditures,02/15/2017,Historical,Y2015,42576,0,37953,0,9638,23561,4754,4623
Government Administration Expenditures,02/15/2017,Projected,Y2016,45039,0,40141,0,10313,25006,4822,4899
Government Administration Expenditures,02/15/2017,Projected,Y2017,46840,0,41494,0,11168,24925,5401,5346
Government Administration Expenditures,02/15/2017,Projected,Y2018,52082,0,46219,0,11741,28598,5880,5863
Government Administration Expenditures,02/15/2017,Projected,Y2019,55674,0,49249,0,12600,30224,6424,6425
Government Administration Expenditures,02/15/2017,Projected,Y2020,59413,0,52376,0,13398,31954,7024,7037
Government Administration Expenditures,02/15/2017,Projected,Y2021,63422,0,55717,0,14269,33768,7681,7704
Government Administration Expenditures,02/15/2017,Projected,Y2022,67703,0,59270,0,15194,35678,8398,8433
Government Administration Expenditures,02/15/2017,Projected,Y2023,72327,0,63098,0,16217,37701,9181,9229
Government Administration Expenditures,02/15/2017,Projected,Y2024,77317,0,67219,0,17311,39865,10043,10099
Government Administration Expenditures,02/15/2017,Projected,Y2025,82898,0,71849,0,18478,42382,10990,11049
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1960,1018,0,852,852,0,0,0,167
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1961,1101,0,931,931,0,0,0,170
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1962,1214,0,1020,1020,0,0,0,194
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1963,1251,0,1051,1051,0,0,0,200
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1964,1376,0,1152,1152,0,0,0,225
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1965,1608,0,1355,1355,0,0,0,253
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1966,1734,0,1443,1442,0,1,0,291
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1967,1720,0,1391,1389,0,3,0,329
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1968,2033,0,1641,1637,0,4,0,392
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1969,1786,0,1361,1355,0,6,0,426
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1970,1892,0,1442,1434,0,8,0,450
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1971,2432,0,2021,2012,0,9,0,411
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1972,3403,0,2973,2964,0,9,0,430
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1973,3730,0,3200,3189,0,10,0,530
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1974,3208,0,2638,2625,0,13,0,570
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1975,3428,0,2852,2837,0,15,0,576
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1976,4906,0,4321,4304,0,17,0,585
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1977,7515,0,6775,6757,0,18,0,741
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1978,8896,0,7936,7917,0,19,0,960
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1979,9558,0,8219,8199,0,20,0,1338
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1980,9282,0,7703,7684,0,19,0,1579
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1981,10944,0,9266,9240,4,22,0,1678
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1982,13106,0,11321,11283,11,28,0,1785
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1983,14934,0,13363,13287,26,49,0,1571
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1984,19615,0,18460,18326,59,75,0,1156
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1985,20713,0,19419,19209,122,88,0,1294
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1986,17717,0,16456,16182,194,81,0,1261
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1987,15908,0,14131,13779,271,81,0,1777
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1988,20900,0,18961,18515,323,122,0,1939
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1989,27534,0,26004,25431,386,187,0,1529
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1990,31558,0,29830,29097,460,273,0,1727
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1991,31690,0,30323,29463,531,329,0,1367
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1992,34261,0,32256,31162,627,467,0,2005
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1993,43001,0,39566,37934,929,703,0,3435
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1994,44929,0,40545,38474,1182,889,0,4384
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1995,45882,0,41277,38616,1512,1149,0,4605
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1996,48806,0,44118,40844,1898,1376,0,4687
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1997,48484,0,44230,39572,2943,1715,0,4254
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1998,49980,0,45837,40361,3430,2026,20,4142
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y1999,56029,0,52038,45934,3467,2547,91,3990
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2000,64244,0,59372,52406,3820,2968,178,4872
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2001,71090,0,65432,57178,4053,3905,296,5658
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2002,90082,0,82753,73350,3731,5222,450,7329
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2003,107422,0,98060,88553,3485,5546,476,9362
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2004,115013,0,104911,93766,4738,5908,499,10102
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2005,122972,0,111208,96860,6990,6825,533,11764
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2006,137218,0,124179,101329,14720,7525,605,13039
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2007,143497,0,130967,104833,17361,8103,670,12530
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2008,139753,0,130002,102036,18085,9114,768,9751
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2009,137873,0,130927,98127,21569,10416,814,6946
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2010,153483,0,146598,108295,23407,13873,1023,6885
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2011,159304,0,151007,111006,24525,14431,1045,8297
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2012,165490,0,155170,112643,25837,15732,958,10321
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2013,173775,0,162359,115608,26729,18987,1034,11415
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2014,195312,0,182456,124836,28387,28106,1126,12856
Net Cost of Health Insurance Expenditures,02/15/2017,Historical,Y2015,210092,0,195330,127370,31580,35115,1265,14763
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2016,216333,0,201142,132283,34288,33299,1272,15191
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2017,235083,0,219239,148488,37114,32112,1526,15844
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2018,254765,0,238169,158226,40175,38140,1628,16596
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2019,271146,0,253736,166952,43749,41316,1719,17409
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2020,287327,0,269047,175366,47282,44613,1787,18280
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2021,304646,0,285470,184278,51260,48045,1888,19175
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2022,323432,0,303375,193885,55805,51697,1988,20058
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2023,343213,0,322273,203834,60757,55594,2088,20940
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2024,363785,0,341924,214163,65818,59751,2193,21861
Net Cost of Health Insurance Expenditures,02/15/2017,Projected,Y2025,384793,0,361969,224647,70816,64202,2304,22823
Public Health Activity,02/15/2017,Historical,Y1960,371,0,0,0,0,0,0,371
Public Health Activity,02/15/2017,Historical,Y1961,409,0,0,0,0,0,0,409
Public Health Activity,02/15/2017,Historical,Y1962,456,0,0,0,0,0,0,456
Public Health Activity,02/15/2017,Historical,Y1963,509,0,0,0,0,0,0,509
Public Health Activity,02/15/2017,Historical,Y1964,572,0,0,0,0,0,0,572
Public Health Activity,02/15/2017,Historical,Y1965,621,0,0,0,0,0,0,621
Public Health Activity,02/15/2017,Historical,Y1966,733,0,0,0,0,0,0,733
Public Health Activity,02/15/2017,Historical,Y1967,861,0,0,0,0,0,0,861
Public Health Activity,02/15/2017,Historical,Y1968,969,0,0,0,0,0,0,969
Public Health Activity,02/15/2017,Historical,Y1969,1174,0,0,0,0,0,0,1174
Public Health Activity,02/15/2017,Historical,Y1970,1356,0,0,0,0,0,0,1356
Public Health Activity,02/15/2017,Historical,Y1971,1676,0,0,0,0,0,0,1676
Public Health Activity,02/15/2017,Historical,Y1972,1855,0,0,0,0,0,0,1855
Public Health Activity,02/15/2017,Historical,Y1973,2123,0,0,0,0,0,0,2123
Public Health Activity,02/15/2017,Historical,Y1974,2584,0,0,0,0,0,0,2584
Public Health Activity,02/15/2017,Historical,Y1975,2967,0,0,0,0,0,0,2967
Public Health Activity,02/15/2017,Historical,Y1976,3213,0,0,0,0,0,0,3213
Public Health Activity,02/15/2017,Historical,Y1977,3815,0,0,0,0,0,0,3815
Public Health Activity,02/15/2017,Historical,Y1978,4588,0,0,0,0,0,0,4588
Public Health Activity,02/15/2017,Historical,Y1979,5375,0,0,0,0,0,0,5375
Public Health Activity,02/15/2017,Historical,Y1980,6445,0,0,0,0,0,0,6445
Public Health Activity,02/15/2017,Historical,Y1981,7531,0,0,0,0,0,0,7531
Public Health Activity,02/15/2017,Historical,Y1982,8621,0,0,0,0,0,0,8621
Public Health Activity,02/15/2017,Historical,Y1983,9251,0,0,0,0,0,0,9251
Public Health Activity,02/15/2017,Historical,Y1984,9842,0,0,0,0,0,0,9842
Public Health Activity,02/15/2017,Historical,Y1985,11212,0,0,0,0,0,0,11212
Public Health Activity,02/15/2017,Historical,Y1986,12387,0,0,0,0,0,0,12387
Public Health Activity,02/15/2017,Historical,Y1987,13572,0,0,0,0,0,0,13572
Public Health Activity,02/15/2017,Historical,Y1988,15267,0,0,0,0,0,0,15267
Public Health Activity,02/15/2017,Historical,Y1989,17773,0,0,0,0,0,0,17773
Public Health Activity,02/15/2017,Historical,Y1990,19997,0,0,0,0,0,0,19997
Public Health Activity,02/15/2017,Historical,Y1991,22129,0,0,0,0,0,0,22129
Public Health Activity,02/15/2017,Historical,Y1992,24374,0,0,0,0,0,0,24374
Public Health Activity,02/15/2017,Historical,Y1993,26779,0,0,0,0,0,0,26779
Public Health Activity,02/15/2017,Historical,Y1994,29594,0,0,0,0,0,0,29594
Public Health Activity,02/15/2017,Historical,Y1995,31003,0,0,0,0,0,0,31003
Public Health Activity,02/15/2017,Historical,Y1996,32377,0,0,0,0,0,0,32377
Public Health Activity,02/15/2017,Historical,Y1997,34832,0,0,0,0,0,0,34832
Public Health Activity,02/15/2017,Historical,Y1998,37457,0,0,0,0,0,0,37457
Public Health Activity,02/15/2017,Historical,Y1999,40731,0,0,0,0,0,0,40731
Public Health Activity,02/15/2017,Historical,Y2000,43050,0,0,0,0,0,0,43050
Public Health Activity,02/15/2017,Historical,Y2001,46792,0,0,0,0,0,0,46792
Public Health Activity,02/15/2017,Historical,Y2002,52201,0,0,0,0,0,0,52201
Public Health Activity,02/15/2017,Historical,Y2003,54233,0,0,0,0,0,0,54233
Public Health Activity,02/15/2017,Historical,Y2004,54915,0,0,0,0,0,0,54915
Public Health Activity,02/15/2017,Historical,Y2005,57161,0,0,0,0,0,0,57161
Public Health Activity,02/15/2017,Historical,Y2006,60803,0,0,0,0,0,0,60803
Public Health Activity,02/15/2017,Historical,Y2007,65864,0,0,0,0,0,0,65864
Public Health Activity,02/15/2017,Historical,Y2008,71458,0,0,0,0,0,0,71458
Public Health Activity,02/15/2017,Historical,Y2009,74056,0,0,0,0,0,0,74056
Public Health Activity,02/15/2017,Historical,Y2010,75487,0,0,0,0,0,0,75487
Public Health Activity,02/15/2017,Historical,Y2011,74157,0,0,0,0,0,0,74157
Public Health Activity,02/15/2017,Historical,Y2012,77242,0,0,0,0,0,0,77242
Public Health Activity,02/15/2017,Historical,Y2013,77945,0,0,0,0,0,0,77945
Public Health Activity,02/15/2017,Historical,Y2014,79005,0,0,0,0,0,0,79005
Public Health Activity,02/15/2017,Historical,Y2015,80926,0,0,0,0,0,0,80926
Public Health Activity,02/15/2017,Projected,Y2016,82480,0,0,0,0,0,0,82480
Public Health Activity,02/15/2017,Projected,Y2017,85368,0,0,0,0,0,0,85368
Public Health Activity,02/15/2017,Projected,Y2018,88627,0,0,0,0,0,0,88627
Public Health Activity,02/15/2017,Projected,Y2019,92171,0,0,0,0,0,0,92171
Public Health Activity,02/15/2017,Projected,Y2020,95813,0,0,0,0,0,0,95813
Public Health Activity,02/15/2017,Projected,Y2021,99566,0,0,0,0,0,0,99566
Public Health Activity,02/15/2017,Projected,Y2022,103397,0,0,0,0,0,0,103397
Public Health Activity,02/15/2017,Projected,Y2023,107299,0,0,0,0,0,0,107299
Public Health Activity,02/15/2017,Projected,Y2024,111190,0,0,0,0,0,0,111190
Public Health Activity,02/15/2017,Projected,Y2025,115547,0,0,0,0,0,0,115547
Research,02/15/2017,Historical,Y1960,694,0,0,0,0,0,0,694
Research,02/15/2017,Historical,Y1961,886,0,0,0,0,0,0,886
Research,02/15/2017,Historical,Y1962,1068,0,0,0,0,0,0,1068
